Key,File,Type,UsedInMainMenu,NoTranslate,english
woodDecoBlockVariantHelper,blocks,Variant,,,Wood Deco Items
metalDecoBlockVariantHelper,blocks,Variant,,,Metal Deco Items
mixedDecoBlockVariantHelper,blocks,Variant,,,Wood and Metal Deco Items
polymerDecoBlockVariantHelper,blocks,Variant,,,Polymer Deco Items
concreteDecoBlockVariantHelper,blocks,Variant,,,Concrete Deco Items
electricDecoBlockVariantHelper,blocks,Variant,,,Electronic Deco Items
glassDecoBlockVariantHelper,blocks,Variant,,,Glass Deco Items
birdBathPlanterDeco,blocks,Block,,,Deco Bird Bath Planter
cntVendingMachine2BrokenDeco,blocks,Container,,,Deco Vending Machine
cntPurse01Deco,blocks,Container,,,Deco Purse
cntDuffle01Deco,blocks,Container,,,Deco Duffle Bag
cntHardenedChestSecureDeco,blocks,Container,,,Deco Hardened Chest
cntSecureStorageChestHeroDeco,blocks,block,,,Reinforced Storage Chest
decoEmberPileFire,blocks,Deco,,,Fireplace Embers
decoEmberPileFireDesc,blocks,Deco,,,These flaming embers lend some warmth and comfort to a cold concrete base.
cntWoodBurningStoveFire,blocks,Deco,,,Wood Burning Stove
cntWoodBurningStoveFireDesc,blocks,Deco,,,Bring the heat to your hearth with an old-fashioned wood burning stove.
modularFireWoodStackCFire,blocks,Deco,,,Fireplace Wood
